PUEBLO	PUEBINDI	PUI0A4	PUI5YMAS	PUIEDNE	P5HLI	P5BILI	P5MONO	P5BILIMONE	SINDERHAB	CONDERHAB	NEDERHAB	IMSS	ISSSTE	PEMEX	OTINST	SEGPOP	LNACENT	LNACOTENT	LNACNESP	RESENENT	RESOTENT	RESNESP	P15_ALFA	P15ANALFA	P15ANALFNE	P6A14ASIST	P6A14NASIS	P6A14NEASI	P15A24ASIS	P15A24NASI	P15A24NEAS	P15SINST	P15SINPRIM	P15CONPRIM	P15NEPRIM	P15SINSEC	P15CONSEC	P15NESEC	P15CARTEC	P15MEDSUP	P15ESCSUP	P15NESINS	VIVPARHAB	VCONAGUA	VSINAGUA	VAGUANOES	VCONDRE	VSINDRE	VDRENOES	VCONELE	VSINELE	VELENOES	VIV_SINSERV	VPISOTIE	VPISNESP	VCONRAD	VCONTV	VCONREFR	VCONLAVA	VCONCOMPU	VCONAUTO	VCONTELEF	VCONCEL	VCONINTER
Total	11132562	1184137	9944180	4245	6695228	5467527	980894	246807	4657042	6431751	43769	1634327	389938	62444	176082	4224691	9817006	1294625	20931	9558652	343188	42340	5737945	1582420	47553	2143764	176964	8224	732327	1521898	9226	1410571	1566705	1356700	5631	391580	1303878	6687	8628	858203	432763	26572	2426290	1759714	655878	10698	1544174	863210	18906	2243621	170861	11808	89893	470517	10830	1560521	1719105	1143452	676118	211920	387307	381710	805123	117991
Amuzgo	67349	7719	59587	43	50635	29132	20643	860	23547	43025	777	2728	2146	94	1077	37034	63962	3246	141	58028	1353	206	25300	15729	390	15153	1205	65	4386	9409	58	13890	8097	6156	16	2481	4520	10	16	4202	1868	163	14454	8165	6197	92	7757	6444	253	12701	1612	141	975	4822	91	7110	8528	6875	1306	780	984	1706	3047	382
Awakateko	2270	252	2018	0	1931	1702	224	5	1095	1175	0	16	4	2	1	1154	1478	792	0	1958	59	1	806	581	1	543	46	0	181	369	2	538	306	247	0	74	116	0	0	95	12	0	423	349	73	1	103	318	2	366	55	2	42	193	1	244	267	171	17	5	52	98	32	0
Ayapaneco	57	7	50	0	21	21	0	0	17	40	0	0	5	2	1	32	42	15	0	41	9	0	33	6	1	10	0	0	1	7	0	6	11	3	0	3	9	0	0	6	1	1	12	10	2	0	11	1	0	12	0	0	0	0	0	7	8	6	6	1	0	1	5	0
Chatino	63155	7575	55559	21	44980	31773	11784	1423	25796	37132	227	4850	954	114	705	30973	61864	1209	82	54298	1067	194	25017	12659	207	14567	1358	54	3277	9450	45	10211	10182	7140	21	2320	4652	8	11	2471	743	124	12567	6943	5543	81	5030	7368	169	11446	1016	105	487	2760	80	6023	6979	4699	1347	561	978	1315	2153	142
Chichimeco jonaz	4222	570	3651	1	2200	2113	45	42	1468	2746	8	106	62	2	24	2558	4039	178	5	3582	59	10	1478	863	9	975	214	1	143	812	0	964	412	377	2	119	302	3	2	101	62	6	679	608	71	0	302	373	4	574	105	0	15	247	4	439	491	185	123	30	148	42	173	18
Chinanteco	207643	21158	186421	64	133433	116038	15265	2130	101499	105656	488	18860	5794	490	1746	79241	178322	29039	282	177722	8099	600	110783	25942	616	41832	2562	95	13511	28258	137	19005	36807	28888	46	8086	25287	77	62	13736	5064	283	46199	32168	13887	144	28410	17584	205	43008	3044	147	1527	10258	151	27583	32943	27269	12745	2742	5355	7464	11114	1245
Chocholteco/Chocho	1937	118	1818	1	837	809	4	24	804	1130	3	448	154	13	32	486	1400	535	2	1702	110	6	1297	199	5	273	11	2	147	190	1	150	353	231	2	51	287	0	1	229	194	3	493	344	148	1	336	153	4	427	65	1	56	103	1	342	323	237	165	83	120	147	178	47
Ch'ol	283797	34685	249025	87	212292	163142	47336	1814	122976	159960	861	24546	5368	893	4938	126028	262198	20924	675	242561	5320	1144	129582	45005	1028	61738	4455	271	19898	41995	240	37288	40794	26580	88	11566	31002	117	65	22217	5454	444	57496	43662	13504	330	37031	20005	460	52756	4404	336	2475	10957	271	28191	30366	18619	7141	1854	2511	2426	9798	676
Chontal de Oaxaca	10137	776	9358	3	4473	4337	11	125	4343	5776	18	1832	440	208	84	3227	9817	306	14	9078	242	38	5946	1456	28	1657	88	10	701	1073	5	1292	1859	1554	10	322	1220	1	2	799	358	13	2686	2242	432	12	2004	660	22	2522	156	8	55	549	9	1601	1629	1250	524	143	251	260	605	57
Chontal de Tabasco	70929	6435	64479	15	37019	36023	38	958	17663	53109	157	4195	4939	516	2580	41155	70025	720	184	63906	314	259	43581	7104	400	11833	265	44	7094	8721	61	5638	8043	6495	13	1693	10765	23	32	13123	5160	100	15104	9391	5653	60	14252	776	76	14925	137	42	41	1251	63	10766	12889	11738	8955	1387	1396	1173	6139	342
Chuj	4145	592	3553	0	2517	2369	87	61	2381	1762	2	192	5	1	7	1583	3108	1033	4	3467	80	6	1823	624	6	856	144	1	169	928	1	585	750	561	0	130	326	1	0	83	14	3	662	453	209	0	160	501	1	591	70	1	41	297	0	295	297	165	91	8	45	82	46	3
Cora	27712	4274	23408	30	20030	14240	5479	311	8979	18449	284	3207	957	104	578	13820	26554	1112	46	22807	515	86	10327	5154	70	5896	1123	32	1337	4212	42	4553	3851	2412	5	919	1831	6	11	1308	608	47	5019	2533	2457	29	1782	3144	93	2635	2345	39	1554	1494	21	2929	1808	1107	518	231	676	319	853	132
Cucapá	353	34	319	0	144	136	2	6	100	251	2	85	13	2	5	151	288	65	0	299	20	0	237	15	0	54	3	0	18	56	1	23	43	45	0	21	65	2	1	31	21	0	87	78	9	0	49	37	1	77	10	0	1	4	0	59	77	69	60	19	57	17	71	9
Cuicateco	22444	2155	20277	12	12867	12139	530	198	11270	11106	68	1450	397	24	613	8659	20038	2386	20	19523	700	54	12284	3182	46	4109	220	9	1277	3105	18	2085	5538	3134	12	761	2423	9	6	1126	401	17	5515	4352	1150	13	2533	2949	33	5188	304	23	164	1456	20	3377	3289	1735	984	219	367	801	854	110
Guarijío	3128	315	2811	2	2154	2072	53	29	1462	1661	5	287	44	0	9	1323	3008	117	3	2773	30	8	1360	724	11	535	113	0	102	580	1	681	559	370	2	118	246	1	0	81	27	10	713	426	285	2	168	542	3	401	310	2	173	307	0	319	186	88	30	13	71	16	96	9
Huasteco	237876	25684	212073	119	161289	146521	11636	3132	67266	169997	613	45120	4704	1249	4007	116114	211557	25944	375	202663	8410	1000	126970	25476	833	51078	1921	145	17112	29692	149	17667	39132	30028	99	8832	32331	193	108	19232	5123	534	53140	29758	23196	186	20499	32322	319	44453	8527	160	5421	14426	200	38436	32439	22687	8763	2024	5078	3742	16785	909
Huave	24627	2689	21934	4	17481	14329	2991	161	10504	14087	36	2747	1038	423	125	9797	23067	1539	21	21095	793	46	12601	3579	84	4824	297	7	1670	3184	8	3294	3335	2977	10	928	2608	13	4	2144	842	109	5664	3200	2434	30	3727	1899	38	4837	800	27	538	2440	28	3283	3773	2147	1042	326	402	495	1232	114
Huichol	59820	8791	50989	40	44837	37924	6163	750	22205	37046	569	8070	1855	188	1831	26084	54332	5318	170	48993	1711	285	25080	8736	320	12830	2239	89	3988	8937	49	8753	7555	4501	51	2658	4875	37	24	3863	1663	156	11680	6899	4692	89	4322	7154	204	6346	5224	110	2825	3701	86	6047	4183	2531	1309	628	1292	684	2818	344
Ixcateco	462	34	428	0	195	182	6	7	248	210	4	51	17	0	7	135	354	107	1	416	12	0	258	79	4	72	9	2	22	72	0	64	105	52	0	17	62	0	1	33	6	1	120	84	36	0	88	30	2	114	6	0	5	26	0	81	96	74	40	5	13	21	44	4
Ixil	240	19	221	0	91	82	3	6	67	173	0	55	4	0	0	115	133	107	0	201	20	0	125	36	2	50	4	0	20	51	1	46	20	30	0	10	36	0	1	13	5	2	53	47	6	0	38	14	1	51	2	0	0	6	0	13	38	23	19	4	4	13	13	0
Jakalteko	1359	123	1236	0	588	547	20	21	582	765	12	184	23	2	1	564	1102	254	3	1184	45	7	698	274	3	222	19	0	96	176	2	271	214	164	0	47	137	1	0	96	44	1	293	220	73	0	226	65	2	290	3	0	0	75	1	191	239	153	98	21	38	54	91	10
K'iche'	699	75	624	0	352	333	5	14	367	329	3	94	0	0	18	228	325	372	2	525	97	2	366	98	5	119	17	0	52	114	0	109	112	80	0	23	62	0	0	48	33	2	159	136	23	0	117	40	2	154	5	0	3	15	0	87	121	84	73	19	30	41	60	12
Kaqchikel	297	23	274	0	106	102	0	4	153	142	2	47	24	0	14	64	155	142	0	244	29	1	186	31	0	39	11	0	28	44	0	37	40	29	1	9	25	0	0	41	35	0	75	64	11	0	61	14	0	71	4	0	2	6	0	47	61	46	34	22	26	17	36	15
Kickapoo	552	55	495	2	422	400	16	6	151	399	2	42	16	0	327	16	509	41	2	474	18	3	325	67	1	87	5	0	51	56	0	96	26	45	1	40	69	0	0	80	34	2	123	120	2	1	118	5	0	122	1	0	0	4	1	111	121	119	111	20	107	19	104	14
Kiliwa	148	8	140	0	47	44	0	3	38	107	3	30	23	0	3	53	116	32	0	133	7	0	107	4	0	26	1	0	14	14	0	10	14	16	0	7	16	0	0	26	22	0	38	34	4	0	29	9	0	35	3	0	0	2	0	31	36	31	29	14	25	17	30	15
Kumiai	851	79	772	0	377	347	0	30	211	637	3	245	40	2	14	340	676	172	3	740	23	9	586	25	9	130	2	0	40	109	3	51	109	142	1	57	127	1	1	84	45	2	225	148	76	1	130	90	5	187	37	1	15	28	1	144	169	148	116	38	140	35	146	28
Lacandón	1130	168	961	1	882	838	42	2	354	774	2	55	53	11	15	647	1074	53	3	943	14	4	437	277	0	183	43	0	51	213	0	279	109	164	0	37	59	1	0	33	32	0	285	272	12	1	223	61	1	266	19	0	7	36	0	103	161	116	43	10	31	12	20	7
Mam	27210	3055	24146	9	10460	10022	40	398	12614	14536	60	2085	303	11	382	11993	23237	3915	58	22905	1156	85	12681	4535	60	5539	699	14	1529	4414	23	4480	4700	3201	8	857	2473	11	5	1181	324	36	4841	2746	2068	27	3336	1466	39	4528	288	25	121	1265	25	3188	2994	1755	854	105	488	611	1045	26
Matlatzinca	2417	217	2200	0	1118	1062	22	34	990	1425	2	301	81	4	64	980	1997	417	3	2127	71	2	1451	310	6	377	12	0	130	236	2	244	300	356	0	88	483	1	3	197	91	4	615	565	50	0	517	98	0	605	10	0	5	29	0	480	538	289	223	69	157	222	269	34
Maya	1500441	133966	1366061	414	786623	720764	51218	14641	383562	1114034	2845	406732	70659	4676	20228	622415	1299092	199282	2067	1329372	31762	4927	919150	152031	6547	249706	11130	763	108116	194070	1232	128879	245351	177639	781	57665	230604	1015	1982	147658	82758	3396	354175	322646	30191	1338	253156	99058	1961	340930	12190	1055	4068	18274	1364	235113	308662	233034	213712	46574	71525	61181	185525	27471
Mayo	98869	7759	91073	37	39789	38393	111	1285	22197	76517	155	23713	6501	156	638	47171	94559	4127	183	89436	1266	371	64865	7965	454	15512	576	60	6863	10722	62	7320	17158	10614	67	4193	16611	83	95	11317	5497	329	22244	18572	3599	73	9220	12878	146	20916	1268	60	544	3873	56	15430	18620	15621	7053	1871	5655	2288	11898	991
Mazahua	336546	34174	302249	123	136444	129055	1398	5991	128975	206763	808	23057	6724	524	5893	171657	302160	33686	700	292933	7782	1534	178918	44355	1639	64861	4977	252	20341	52792	299	43476	46551	43852	172	11625	47134	211	198	21304	9861	528	66130	46085	19720	325	36276	29273	581	62673	3118	339	1689	7859	323	43545	54270	24963	12360	4508	15289	11408	23393	1894
Mazateco	336158	37177	298855	126	223424	175667	42476	5281	166889	166439	2830	47595	8736	607	8443	102605	268273	67295	590	282688	14748	1419	158658	57135	1604	67113	6093	319	18898	46291	375	46879	53704	41106	177	12070	34678	155	117	20880	6951	680	78194	42024	35803	367	53193	24008	993	72031	5764	399	2744	18547	337	49487	51007	30517	13026	4088	5858	8849	20430	2121
Mixe	194845	19566	175186	93	132763	105019	25592	2152	104765	89253	827	26723	6059	3156	2384	51468	169064	25386	395	166569	7976	641	98015	32753	762	36642	2830	124	13411	25566	154	30045	25494	24773	65	6883	22517	99	71	15207	6041	335	47124	32352	14582	190	29711	16992	421	42391	4482	251	2028	8762	195	27815	30497	19882	8946	3595	4807	5520	12048	1606
Mixteco	771455	83985	687133	337	478854	369076	99258	10520	388049	380086	3320	104936	25798	3762	12605	236196	636666	133423	1366	647785	36448	2900	365080	128853	3911	155771	14826	648	53371	100904	665	117025	97590	92513	329	27446	80670	394	371	55258	24002	2246	163334	104334	58127	873	85828	75837	1669	148969	13336	1029	8238	38901	782	94647	102792	71372	37642	12921	25279	29846	45873	6638
Náhuatl	2587452	270340	2316175	937	1547626	1348894	158949	39783	1179241	1398513	9698	317495	84824	12680	39837	955145	2247072	335654	4726	2210955	95356	9864	1319673	388026	10767	502017	37373	1749	167318	351738	2202	347152	348694	329663	1417	87532	310347	1741	1474	191754	92429	6263	566428	386750	177467	2211	357170	205352	3906	535227	28701	2500	14041	125781	2350	389538	412001	257318	113928	41218	79524	94300	166267	22430
Oluteco	144	8	136	0	50	42	0	8	50	94	0	12	2	1	0	86	137	7	0	133	2	1	83	22	0	28	0	0	10	16	0	26	25	16	0	6	15	0	0	13	4	0	34	20	14	0	31	3	0	32	2	0	1	4	0	21	25	26	18	3	2	7	18	2
Otomí	623121	59994	562843	284	285648	265179	12153	8316	247658	374037	1426	59548	20504	1382	7332	287530	542021	80039	1061	537015	23123	2705	349847	79739	2965	111885	5713	393	40026	85224	467	74540	82445	78785	410	21783	95782	521	785	50755	25386	1359	136113	109433	26211	469	100269	34953	891	129466	6155	492	2510	17548	512	97932	109957	69439	37797	12541	36884	26012	49838	5687
Paipai	426	28	398	0	198	190	0	8	147	278	1	56	49	0	12	166	375	51	0	381	14	3	280	28	0	74	3	0	19	53	0	34	68	57	0	18	44	0	1	39	47	0	107	80	27	0	54	53	0	95	12	0	11	9	0	83	82	77	65	25	69	23	82	18
Pame	15520	1993	13526	1	11030	8576	2248	206	7335	8149	36	670	314	5	74	7131	15118	367	35	13287	176	63	5989	3085	82	3576	364	5	576	2393	17	2775	2232	1835	2	503	1144	3	3	463	162	34	3064	690	2363	11	1098	1922	44	2147	903	14	606	1144	9	1480	1208	587	367	66	270	70	192	23
Pápago	426	31	395	0	162	148	0	14	175	246	5	118	37	0	27	73	346	80	0	374	21	0	312	12	1	66	0	0	31	36	0	16	55	56	0	26	61	0	3	65	39	4	119	109	9	1	109	10	0	111	8	0	2	4	0	96	110	108	90	42	82	46	98	33
Pima	1603	174	1426	3	853	787	2	64	983	617	3	122	37	2	13	444	1463	139	1	1400	20	6	815	270	3	280	29	0	52	277	2	285	341	236	0	52	83	2	1	62	25	1	361	218	142	1	93	264	4	249	110	2	58	118	1	140	189	116	66	8	108	33	96	9
Popoloca	29945	3479	26458	8	18052	17180	462	410	16039	13801	105	2981	782	46	211	9886	26905	2962	78	24438	1894	126	14052	4973	218	5914	562	19	1660	4622	14	4603	4969	3561	16	957	2621	15	11	1698	718	74	6418	4837	1556	25	4397	1973	48	6097	291	30	122	1748	23	3808	5024	2613	1560	385	1199	1110	2525	163
Popoluca de la sierra	44252	5097	39139	16	33788	30591	2572	625	15286	28559	407	2741	477	79	523	24848	43897	277	78	38486	579	74	16559	10305	129	10152	855	33	2701	6679	26	9477	6088	3564	20	1522	3323	10	6	2603	330	50	10422	8628	1768	26	3889	6454	79	9487	893	42	311	4210	32	4516	5637	3000	704	150	362	911	749	32
Q'anjob'al	14508	1855	12650	3	9306	8774	314	218	6299	8136	73	949	23	21	82	7231	10086	4375	47	12213	402	35	5957	2497	26	3288	521	10	760	2907	13	2512	2336	1640	3	518	1046	4	1	362	47	11	2530	2020	496	14	1147	1350	33	2220	299	11	136	663	10	1132	1491	896	537	36	213	301	340	15
Q'eqchi'	1893	273	1619	1	1217	1163	21	33	637	1251	5	482	1	0	26	782	1049	838	6	1461	148	10	817	282	13	385	74	1	97	413	4	311	293	179	0	95	143	0	1	48	38	4	374	296	74	4	248	118	8	319	51	4	19	59	5	155	230	123	89	18	21	39	78	9
Qato'k/Motocintleco	361	28	333	0	109	88	0	21	114	242	5	131	23	0	4	84	337	24	0	318	15	0	212	60	1	51	3	0	30	47	0	69	57	30	0	16	34	0	0	36	31	0	82	76	6	0	79	3	0	79	3	0	0	9	0	55	68	51	30	7	11	10	32	3
Sayulteco	2440	236	2204	0	938	906	2	30	1242	1194	4	194	120	0	55	827	2361	75	4	2144	55	5	1349	364	6	403	42	3	212	287	3	371	320	229	2	120	244	4	0	293	132	4	525	283	238	4	474	45	6	496	26	3	12	107	4	304	396	361	195	49	59	79	166	24
Seri	1031	92	938	1	762	747	7	8	392	636	3	73	56	3	11	498	968	61	2	916	19	3	681	33	2	181	9	0	76	130	2	53	87	174	0	66	169	1	2	90	73	1	236	127	108	1	125	107	4	216	19	1	12	26	1	103	159	154	72	36	118	38	116	25
Tarahumara	124947	15381	109477	89	85213	72705	10357	2151	61463	62752	732	21639	3406	98	2366	35728	119395	5170	382	107249	1497	731	49184	28188	745	20861	7052	150	4817	20454	130	27740	20223	12122	83	3433	6474	55	86	4518	3124	259	27153	11265	15683	205	7774	18915	464	12150	14764	239	11429	8332	145	17476	8747	6160	3896	1668	4613	1904	5697	1077
Tarasco/Purépecha	193426	19198	174151	77	124638	112035	9555	3048	108016	84648	762	28769	11529	250	3261	41366	174715	18258	453	166217	7019	915	106336	26322	1163	32615	3798	129	11762	30258	195	24420	29883	23035	164	9291	21584	177	192	14105	10046	924	41882	32662	9048	172	23212	18412	258	40516	1213	153	515	15338	140	29632	34330	17282	11887	4127	11702	9224	14051	2139
Teko	149	10	139	0	52	50	0	2	38	110	1	29	4	1	0	76	137	12	0	134	4	1	90	16	1	27	0	0	13	11	1	15	36	13	0	6	19	0	0	13	5	0	38	36	2	0	37	0	1	38	0	0	0	0	0	23	26	26	9	4	6	2	10	1
Tepehua	15506	1410	14087	9	8869	8303	375	191	7766	7610	130	1457	755	246	234	4952	12780	2703	23	13305	742	40	8568	2202	80	2868	76	5	1331	1784	12	1875	1929	1758	3	572	2128	13	10	1809	702	51	3694	2131	1550	13	1849	1829	16	3524	156	14	97	523	16	2451	2796	1892	602	317	319	693	1027	101
Tepehuano del norte	12125	1812	10302	11	7941	7242	399	300	4684	7366	75	2671	136	4	546	4092	11952	109	64	10191	41	70	3982	2736	32	2343	795	16	422	2184	17	2787	1572	1005	14	362	561	13	0	337	83	16	2058	720	1327	11	654	1340	64	657	1386	15	869	1426	14	1146	457	197	107	32	376	38	266	17
Tepehuano del sur	38219	5868	32307	44	27691	22031	4776	884	17200	20187	832	5771	1469	197	468	12391	36628	1410	181	31451	518	338	14898	6453	216	8292	1161	89	2499	5419	61	6742	4034	2901	76	1465	3133	70	11	2182	787	166	6914	2238	4481	195	1905	4583	426	2330	4403	181	3064	3116	111	3031	1579	816	409	222	912	251	850	116
Texistepequeño	1032	54	978	0	328	319	2	7	413	617	2	89	26	1	23	480	1012	19	1	937	37	4	571	272	1	121	7	0	58	78	0	300	156	126	0	27	92	0	1	97	45	0	261	119	141	1	242	18	1	240	21	0	11	43	0	155	170	127	72	17	18	10	95	8
Tlahuica/Ocuilteco	1882	190	1691	1	741	704	3	34	683	1198	1	32	30	4	4	1129	1803	79	0	1642	42	7	1100	184	6	341	14	1	140	290	1	169	305	179	1	81	307	3	0	176	64	5	362	328	34	0	257	105	0	353	9	0	7	83	0	259	291	161	168	31	162	73	105	6
Tlapaneco	167029	23220	143692	117	120111	84670	33787	1654	89225	76478	1326	5066	4737	362	1841	64584	155241	11519	269	139031	4053	608	68970	24806	654	41218	2910	221	12344	21302	151	19719	17648	18741	58	6805	14027	49	64	11838	4039	1442	33373	17729	15456	188	14658	18360	355	26849	6250	274	3188	10179	190	15103	15216	10496	2779	1346	1912	2456	5153	542
Tojolabal	71424	8672	62737	15	51852	40784	10484	584	36441	34697	286	1967	882	37	249	31648	70219	1000	205	61825	705	207	29648	14126	165	14728	2169	59	3026	13386	42	11220	12232	10057	16	2016	4999	30	13	2562	733	61	12250	7148	5024	78	4181	7939	130	10686	1487	77	939	2296	75	7852	6294	2249	864	258	1099	575	1740	101
Totonaco	407617	39955	367544	118	244274	207411	30673	6190	189485	216866	1266	57573	9681	2676	8950	139073	357228	49687	702	351987	13939	1618	206786	67867	1942	77651	4608	245	29527	49243	255	61790	60223	45923	203	13319	46354	241	188	35378	12089	887	91280	55463	35492	325	62815	27930	535	84900	6004	376	3082	18593	335	59827	66313	41425	19138	5399	7950	13441	24022	2700
Triqui	37368	4902	32450	16	25908	20399	5051	458	21156	16104	108	4748	980	454	1411	8632	28894	8383	91	30562	1667	221	15784	6038	221	8318	1002	43	3043	5164	32	5439	3846	3829	18	1466	3607	20	14	2735	881	188	7101	4586	2471	44	2653	4368	80	6330	709	62	387	3087	46	4091	4005	2187	1054	460	900	785	2218	188
Tseltal	583111	83127	499791	193	445637	278418	163073	4146	268278	311512	3321	61824	10156	693	6431	236351	565998	15972	1141	491642	6395	1754	234232	96307	1544	133621	16090	558	36747	88448	415	85297	75149	61384	157	21021	45310	180	86	32713	9995	791	106841	79514	26672	655	59782	45972	1087	95418	10489	934	4992	28212	638	50782	48279	20622	7663	3306	5907	3798	18349	1245
Tsotsil	535117	75561	459353	203	405621	253654	146946	5021	234569	296961	3587	48569	7038	382	8299	235216	520501	13650	966	451385	6235	1733	208844	100173	1634	113291	19817	526	21871	95486	427	93173	64701	82965	194	13190	31730	104	77	16895	7046	576	105423	76556	28277	590	65927	38732	764	99324	5160	939	2311	26074	565	52859	52737	18596	7668	2757	7847	5287	21774	1247
Yaqui	29815	2718	27084	13	17141	15807	858	476	7802	21952	61	7181	1915	77	901	12449	27680	2101	34	26326	652	106	18666	2155	130	5179	359	13	1717	3640	22	2307	4191	2985	24	1702	4230	31	33	3378	1986	84	6770	5628	1094	48	2528	4174	68	6132	607	31	230	2515	35	4838	5704	4125	2221	908	2134	961	3846	646
Zapoteco	771577	69928	701375	274	451427	401464	39587	10376	350843	418653	2081	110576	51230	21571	10638	228244	672512	97959	1106	670487	28659	2229	447788	93833	3027	132328	8887	388	54974	89382	432	83266	115967	107520	373	25438	84877	322	717	68941	55274	1953	184087	142097	41352	638	137803	45137	1147	174498	8883	706	3907	36179	785	131863	140174	111809	69441	27663	38528	44218	73989	16561
Zoque	100225	11667	88540	18	63203	57942	4033	1228	36296	63181	748	9894	2000	274	1210	50170	93195	6877	153	85816	2447	277	46029	16146	377	22061	1557	77	7279	13860	75	15462	15906	8180	26	3826	9348	39	19	7200	2298	248	20759	16707	3980	72	17460	3135	164	19242	1401	116	430	3975	71	9797	12607	7385	2590	808	975	818	3730	226
Otras lenguas de América	1912	187	1724	1	848	786	0	62	794	1106	12	608	165	5	249	148	733	1168	11	1172	544	8	1403	37	9	229	10	0	146	161	4	43	61	116	1	33	167	0	3	273	745	7	551	524	24	3	536	8	7	543	6	2	0	14	4	446	511	481	384	360	332	330	464	298
Lengua insuficientemente especificada	351679	32337	319134	208	142319	32785	1707	107827	112705	237303	1671	125608	22610	3657	11395	77165	279657	70311	1711	300601	15803	2730	222029	19001	2331	64160	3586	484	28998	39704	568	20649	31409	37361	371	12157	51247	566	1636	46469	39964	1532	78059	68666	8966	427	69975	7478	606	76052	1720	287	735	6129	602	61963	71395	62742	50143	22715	33438	32925	50116	16874
